Date,NN Signal Vol-Parity,Ridge Signal Vol-Parity,Static B&H Vol-Parity Benchmark,Dynamic Long-Only Vol-Parity,Full_23_Commodity_Market_Factor,Four_Asset_Equal_Weight_Factor
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,0.9995494863528889,0.9940259093781679,1.0013298877504322,1.0013280161896139,1.000532071946761,0.9958307276414434
2020-01-03,0.9930557963128445,1.0038378227671803,1.0176808998943558,1.0176685225032644,1.0007492279497683,1.0110598983769983
2020-01-06,0.9892547954722589,1.0083630072385625,1.024018808931451,1.0239713277697626,1.0015243787031816,1.0158715375296798
2020-01-07,0.9823943483960511,1.0111739025526445,1.0278816877329235,1.027878344742078,1.0019694661167982,1.0205843433454873
2020-01-08,0.9613123713407372,1.0173380520550481,1.010728512942777,1.0107320229620091,0.9924293017903761,1.002116950777418
2020-01-09,0.9607128937458685,1.019737688151946,1.0064890308014018,1.0063978429766456,0.9933846863400212,1.0006293254543994
2020-01-10,0.9567220579542081,1.0266076830184532,1.0108529985391352,1.0109920799882917,0.9984321371068766,1.006602762473494
2020-01-13,0.9527745216218885,1.024694790127004,1.0031466571167436,1.0033531255067598,0.9941010830690368,0.9981873968525671
2020-01-14,0.9580408231486056,1.0210584187729024,0.998899689019389,0.9989253761870397,0.9978814386748769,0.9954105117158466
2020-01-15,0.9520883659161586,1.0232401701916771,1.000883422724254,1.0009373261895202,0.9993712656799519,0.9908418951344774
2020-01-16,0.9586652763704573,1.0169202344396608,0.9994313580878258,0.9993167049070681,0.9935008252464181,0.9869998846739
2020-01-17,0.9663069524237662,1.01556907910678,1.0018072570911905,1.0015615329011196,0.9976213459812558,0.982546317921621
2020-01-20,0.9686437119176564,1.014993367933494,1.0029424618167444,1.0026551846189815,0.9981997664186821,0.9838737055809292
2020-01-21,0.9629463332197437,1.0025377736473615,0.991610155327237,0.9910027212860297,0.9897672818134163,0.964263085596842
